player,aces,bk_pts,bp_saved,crosscourt,deep,dfs,down_middle,down_the_line,err_deep,err_net,err_wide,err_wide_deep,first_aces,first_forced,first_in,first_pts,first_pts_won,first_unret,first_won,first_won_lte_3_shots,forced_err,in_play,in_play_won,induced_forced,inside_in,inside_out,net_pts,net_unforced,net_winner,passed_at_net,passing_shot_induced_forced,pt_ending,pts,pts_won,pts_won_lte_3_shots,return_forced,return_pts,return_pts_won,returnable,returnable_won,second_aces,second_forced,second_in,second_pts,second_pts_won,second_unret,second_won,second_won_lte_3_shots,serve_pts,serve_return,shallow,shots,shots_in_pts_lost,shots_in_pts_won,snv_pts,total_shots,unforced,unforced_bh,unforced_fh,unret,very_deep,winners,winners_bh,winners_fh
John_Isner,2557.0,240.0,182.0,2152.0,5197.0,275.0,1582.0,666.0,203.0,154.0,77.0,35.0,1122.0,1173.0,8160.0,4896.0,3906.0,174.0,2604.0,2970.0,1521.0,10351.0,4914.0,2637.0,176.0,1340.0,2154.0,378.0,976.0,308.0,156.0,8700.0,23863.0,14111.0,3741.0,790.0,4750.0,1322.0,20330.0,4914.0,39.0,348.0,1486.0,2229.0,1236.0,33.0,824.0,771.0,4750.0,8089.0,2649.0,31393.0,15418.0,15975.0,3458.0,70316.0,5042.0,456.0,582.0,299.0,1865.0,5384.0,288.0,720.0
Andreas_Seppi,902.0,366.0,228.0,5444.0,6919.0,380.0,3448.0,1318.0,196.0,189.0,154.0,14.0,498.0,804.0,6575.0,3945.0,2817.0,108.0,1878.0,1773.0,861.0,12151.0,5803.0,2294.0,223.0,1779.0,1056.0,152.0,516.0,118.0,42.0,10394.0,22316.0,11186.0,2130.0,90.0,4302.0,1576.0,23777.0,5803.0,12.0,57.0,1672.0,2508.0,1272.0,6.0,848.0,357.0,4302.0,9425.0,2068.0,55330.0,27976.0,27354.0,712.0,87324.0,7803.0,778.0,856.0,132.0,2835.0,4442.0,270.0,626.0
Gael_Monfils,2229.0,852.0,506.0,14752.0,17600.0,905.0,8289.0,3303.0,434.0,266.0,266.0,56.0,969.0,1983.0,15521.0,9311.0,6636.0,195.0,4424.0,3942.0,2314.0,28239.0,13566.0,7146.0,851.0,5107.0,4440.0,618.0,2216.0,850.0,402.0,23412.0,51710.0,30997.0,4966.0,1268.0,9884.0,3648.0,54369.0,13566.0,36.0,331.0,3674.0,5509.0,2716.0,0.0,1812.0,1024.0,9884.0,21317.0,5968.0,123627.0,61462.0,62165.0,7548.0,239411.0,14797.0,1344.0,1728.0,293.0,6026.0,11067.0,698.0,1658.0
David_Ferrer,429.0,356.0,212.0,6520.0,6389.0,315.0,4046.0,1540.0,245.0,154.0,91.0,7.0,222.0,651.0,5458.0,3274.0,2209.0,24.0,1474.0,1165.0,714.0,10792.0,5122.0,2211.0,374.0,2246.0,1300.0,128.0,632.0,254.0,126.0,9205.0,18790.0,10070.0,1498.0,172.0,3568.0,1382.0,21090.0,5122.0,3.0,63.0,1384.0,2076.0,1068.0,0.0,712.0,333.0,3568.0,8390.0,2037.0,54481.0,27382.0,27099.0,1152.0,89540.0,6409.0,694.0,624.0,34.0,2070.0,3986.0,280.0,612.0
Robin_Haase,2144.0,608.0,392.0,7014.0,12233.0,745.0,4855.0,2002.0,413.0,425.0,245.0,28.0,920.0,1404.0,11304.0,6780.0,4911.0,75.0,3278.0,3122.0,1551.0,20806.0,9679.0,5009.0,443.0,3546.0,3908.0,548.0,2106.0,632.0,334.0,17556.0,38707.0,23725.0,4038.0,838.0,7488.0,2658.0,40888.0,9679.0,48.0,147.0,2964.0,4444.0,2326.0,1.0,1552.0,916.0,7488.0,16026.0,4287.0,83256.0,41557.0,41699.0,5836.0,170116.0,11308.0,1058.0,1210.0,116.0,4713.0,9245.0,640.0,1356.0
Lukas_Rosol,381.0,108.0,64.0,2385.0,2383.0,108.0,1551.0,545.0,63.0,77.0,14.0,0.0,189.0,289.0,2353.0,1411.0,997.0,12.0,666.0,649.0,373.0,4196.0,2048.0,940.0,279.0,977.0,358.0,34.0,200.0,76.0,24.0,3567.0,7929.0,4233.0,850.0,106.0,1520.0,550.0,8154.0,2048.0,6.0,84.0,578.0,865.0,456.0,0.0,304.0,201.0,1520.0,3214.0,712.0,14473.0,7069.0,7404.0,746.0,27019.0,2009.0,192.0,224.0,14.0,1272.0,2003.0,132.0,276.0
Tobias_Kamke,45.0,54.0,30.0,1975.0,1239.0,45.0,1018.0,365.0,28.0,21.0,0.0,0.0,27.0,135.0,910.0,546.0,369.0,0.0,246.0,216.0,150.0,1817.0,864.0,320.0,103.0,392.0,224.0,22.0,102.0,28.0,10.0,1488.0,3198.0,1574.0,261.0,0.0,588.0,226.0,3450.0,864.0,0.0,15.0,224.0,336.0,174.0,0.0,116.0,45.0,588.0,1342.0,439.0,8063.0,4032.0,4031.0,0.0,12944.0,1020.0,90.0,128.0,0.0,644.0,648.0,48.0,102.0
Facundo_Arguello,10.0,16.0,10.0,52.0,56.0,30.0,37.0,14.0,35.0,0.0,28.0,0.0,6.0,24.0,305.0,183.0,117.0,0.0,78.0,51.0,33.0,600.0,270.0,97.0,7.0,28.0,46.0,4.0,18.0,4.0,0.0,551.0,1089.0,518.0,96.0,0.0,222.0,86.0,1307.0,270.0,0.0,9.0,100.0,150.0,87.0,0.0,58.0,45.0,222.0,535.0,28.0,2080.0,1070.0,1010.0,0.0,3184.0,476.0,46.0,54.0,0.0,49.0,251.0,12.0,46.0
Marcel_Granollers,329.0,172.0,110.0,2786.0,2112.0,100.0,1650.0,668.0,154.0,126.0,56.0,0.0,144.0,219.0,2195.0,1317.0,903.0,12.0,602.0,552.0,246.0,4311.0,2150.0,963.0,108.0,698.0,686.0,98.0,340.0,92.0,92.0,3749.0,7749.0,4779.0,702.0,138.0,1492.0,576.0,8775.0,2150.0,3.0,27.0,614.0,919.0,471.0,0.0,314.0,150.0,1492.0,3494.0,658.0,19375.0,9739.0,9636.0,1244.0,37527.0,2771.0,264.0,298.0,16.0,889.0,1662.0,150.0,226.0
Joao_Souza,44.0,26.0,18.0,629.0,406.0,27.0,480.0,115.0,84.0,63.0,28.0,0.0,18.0,3.0,390.0,234.0,165.0,0.0,110.0,108.0,6.0,644.0,298.0,102.0,65.0,176.0,66.0,0.0,32.0,10.0,0.0,686.0,1265.0,680.0,147.0,2.0,248.0,86.0,1589.0,298.0,6.0,3.0,92.0,130.0,78.0,0.0,52.0,39.0,248.0,624.0,98.0,2654.0,1415.0,1239.0,114.0,4557.0,771.0,50.0,82.0,0.0,133.0,281.0,18.0,40.0
